date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20080101,2008-01-01,2008,1,1,January,1,1,2,Tuesday,0
20080102,2008-01-02,2008,1,1,January,1,2,3,Wednesday,0
20080103,2008-01-03,2008,1,1,January,1,3,4,Thursday,0
20080104,2008-01-04,2008,1,1,January,1,4,5,Friday,0
20080105,2008-01-05,2008,1,1,January,1,5,6,Saturday,1
20080106,2008-01-06,2008,1,1,January,1,6,7,Sunday,1
20080107,2008-01-07,2008,1,1,January,2,7,1,Monday,0
20080108,2008-01-08,2008,1,1,January,2,8,2,Tuesday,0
20080109,2008-01-09,2008,1,1,January,2,9,3,Wednesday,0
20080110,2008-01-10,2008,1,1,January,2,10,4,Thursday,0
20080111,2008-01-11,2008,1,1,January,2,11,5,Friday,0
20080112,2008-01-12,2008,1,1,January,2,12,6,Saturday,1
20080113,2008-01-13,2008,1,1,January,2,13,7,Sunday,1
20080114,2008-01-14,2008,1,1,January,3,14,1,Monday,0
20080115,2008-01-15,2008,1,1,January,3,15,2,Tuesday,0
20080116,2008-01-16,2008,1,1,January,3,16,3,Wednesday,0
20080117,2008-01-17,2008,1,1,January,3,17,4,Thursday,0
20080118,2008-01-18,2008,1,1,January,3,18,5,Friday,0
20080119,2008-01-19,2008,1,1,January,3,19,6,Saturday,1
20080120,2008-01-20,2008,1,1,January,3,20,7,Sunday,1
20080121,2008-01-21,2008,1,1,January,4,21,1,Monday,0
20080122,2008-01-22,2008,1,1,January,4,22,2,Tuesday,0
20080123,2008-01-23,2008,1,1,January,4,23,3,Wednesday,0
20080124,2008-01-24,2008,1,1,January,4,24,4,Thursday,0
20080125,2008-01-25,2008,1,1,January,4,25,5,Friday,0
20080126,2008-01-26,2008,1,1,January,4,26,6,Saturday,1
20080127,2008-01-27,2008,1,1,January,4,27,7,Sunday,1
20080128,2008-01-28,2008,1,1,January,5,28,1,Monday,0
20080129,2008-01-29,2008,1,1,January,5,29,2,Tuesday,0
20080130,2008-01-30,2008,1,1,January,5,30,3,Wednesday,0
20080131,2008-01-31,2008,1,1,January,5,31,4,Thursday,0
20080201,2008-02-01,2008,1,2,February,5,1,5,Friday,0
20080202,2008-02-02,2008,1,2,February,5,2,6,Saturday,1
20080203,2008-02-03,2008,1,2,February,5,3,7,Sunday,1
20080204,2008-02-04,2008,1,2,February,6,4,1,Monday,0
20080205,2008-02-05,2008,1,2,February,6,5,2,Tuesday,0
20080206,2008-02-06,2008,1,2,February,6,6,3,Wednesday,0
20080207,2008-02-07,2008,1,2,February,6,7,4,Thursday,0
20080208,2008-02-08,2008,1,2,February,6,8,5,Friday,0
20080209,2008-02-09,2008,1,2,February,6,9,6,Saturday,1
20080210,2008-02-10,2008,1,2,February,6,10,7,Sunday,1
20080211,2008-02-11,2008,1,2,February,7,11,1,Monday,0
20080212,2008-02-12,2008,1,2,February,7,12,2,Tuesday,0
20080213,2008-02-13,2008,1,2,February,7,13,3,Wednesday,0
20080214,2008-02-14,2008,1,2,February,7,14,4,Thursday,0
20080215,2008-02-15,2008,1,2,February,7,15,5,Friday,0
20080216,2008-02-16,2008,1,2,February,7,16,6,Saturday,1
20080217,2008-02-17,2008,1,2,February,7,17,7,Sunday,1
20080218,2008-02-18,2008,1,2,February,8,18,1,Monday,0
20080219,2008-02-19,2008,1,2,February,8,19,2,Tuesday,0
20080220,2008-02-20,2008,1,2,February,8,20,3,Wednesday,0
20080221,2008-02-21,2008,1,2,February,8,21,4,Thursday,0
20080222,2008-02-22,2008,1,2,February,8,22,5,Friday,0
20080223,2008-02-23,2008,1,2,February,8,23,6,Saturday,1
20080224,2008-02-24,2008,1,2,February,8,24,7,Sunday,1
20080225,2008-02-25,2008,1,2,February,9,25,1,Monday,0
20080226,2008-02-26,2008,1,2,February,9,26,2,Tuesday,0
20080227,2008-02-27,2008,1,2,February,9,27,3,Wednesday,0
20080228,2008-02-28,2008,1,2,February,9,28,4,Thursday,0
20080229,2008-02-29,2008,1,2,February,9,29,5,Friday,0
20080301,2008-03-01,2008,1,3,March,9,1,6,Saturday,1
20080302,2008-03-02,2008,1,3,March,9,2,7,Sunday,1
20080303,2008-03-03,2008,1,3,March,10,3,1,Monday,0
20080304,2008-03-04,2008,1,3,March,10,4,2,Tuesday,0
20080305,2008-03-05,2008,1,3,March,10,5,3,Wednesday,0
20080306,2008-03-06,2008,1,3,March,10,6,4,Thursday,0
20080307,2008-03-07,2008,1,3,March,10,7,5,Friday,0
20080308,2008-03-08,2008,1,3,March,10,8,6,Saturday,1
20080309,2008-03-09,2008,1,3,March,10,9,7,Sunday,1
20080310,2008-03-10,2008,1,3,March,11,10,1,Monday,0
20080311,2008-03-11,2008,1,3,March,11,11,2,Tuesday,0
20080312,2008-03-12,2008,1,3,March,11,12,3,Wednesday,0
20080313,2008-03-13,2008,1,3,March,11,13,4,Thursday,0
20080314,2008-03-14,2008,1,3,March,11,14,5,Friday,0
20080315,2008-03-15,2008,1,3,March,11,15,6,Saturday,1
20080316,2008-03-16,2008,1,3,March,11,16,7,Sunday,1
20080317,2008-03-17,2008,1,3,March,12,17,1,Monday,0
